facility,level,hub,district,region,dhis2_uid,dhis2_name,DHIS2_UID,HIBRID_UID
Kinuuka H/C III,H/C III,Lyantonde Hub   ,Lyantonde,Central 1,n5xUbellHaN,Kinuuka HC III,n5xUbellHaN,SScvesGkgeQ
Nabirumba H/C III,H/C III,Kamuli Hub   ,Kamuli,East Central,BXdPG3XpRk8,Nabirumba HC III,BXdPG3XpRk8,K3X8FvFoLmV
Sigulu H/C III,H/C III,Buyinja Hub   ,Namayingo,East Central,AB05Zdfd4KF,Sigulu HC III,AB05Zdfd4KF,hleJzQDU7Wd
Bugondo H/C III,H/C III,Serere Hub   ,Serere,North East,\N,Bugondo HC III,UJJPDoh3skp,RpwyFTp6jEV
Kyampisi H/C III,H/C III,Mukono Hub ,Mukono ,Central 2,gQ7xBJtwsF3,Kyampisi HC III,gQ7xBJtwsF3,o56YQfJGce2
Asuret H/C III,H/C III,Soroti Hub   ,Soroti,North East,\N,Asuret HC III,AY24xwaz8Ml,gI0cNRqNPPa
Kasambya H/C IV (Mubende),H/C IV,Mubende Hub    ,Mubende,Central 2,asPYa4kd1vo,Mubende Kasambya HC III GOVT,asPYa4kd1vo,HMaZJf4zw9p
Kimuli H/C III,H/C III,Rakai Hub   ,Rakai,Central 1,akLIpF5HNjE,Kimuli HC III,akLIpF5HNjE,xHcd7iGAA9D
Oleba H/C III,H/C III,Arua Hub   ,Maracha Terego,West Nile,\N,Oleba HC III,bq8JZONb0MA,p2Hy75PhbHk
Bussi H/C III,H/C III,Entebbe Hub   ,Wakiso,Central 1,\N,Bussi HC III,tBl4WduwWRw,DngBMmyqAep
Namwiwa H/C III,H/C III,Bumanya Hub   ,Kaliro,East Central,tcaAIOTzAjy,Namwiwa HC III,tcaAIOTzAjy,Hhrdbo9YeP8
Kasagama H/C III,H/C III,Lyantonde Hub   ,Lyantonde,Central 1,jX2AtJy4xmQ,Kasagama HC III,jX2AtJy4xmQ,Ifi2nuQEQs6
Bulamagi H/C III,H/C III,Iganga Hub    ,Iganga,East Central,Hx3bgntGfm7,Bulamagi HC III,Hx3bgntGfm7,R3AahEU8QtV
Bugaya H/C III (Buvuma),H/C III,Buvuma Hub,Buvuma,Central 2,aVeE8JrylXn,Bugaya HC III ( Buvuma ),aVeE8JrylXn,PpLIDUdBSo9
Kango H/C III,H/C III,Warr Hub  ,Zombo,West Nile,\N,Kango HC III,aoc8dFcHiqR,aufHDqSKwuw
Madudu H/C III,H/C III,kassanda Hub   ,Mubende,Central 2,Y5ighgzxrUT,Madudu HC III,Y5ighgzxrUT,wvGleD0OfHz
Ndejje H/C IV (Wakiso),H/C IV,Entebbe Hub   ,Wakiso,Central 1,aNt5WiVHx4G,Ndejje HC IV,aNt5WiVHx4G,Ap6dqGaQ4RT
Kabamba H/C III,H/C III,Mubende Hub    ,Mubende,Central 2,feHZtyy5zKn,KabambaKabamba Barracks HC III,feHZtyy5zKn,Iakel8X5Hdz
Lodonga H/C III,H/C III,Yumbe Hub   ,Yumbe,West Nile,P5GTK5hmugt,Lodonga HC III,P5GTK5hmugt,zOMRLh7MPLw
Ttikalu H/C III,H/C III,Wakiso Hub  ,Wakiso,Central 1,l8JCkd3nqOV,Ttikalu HC III,l8JCkd3nqOV,tg2cn4hyEjh
Kochi H/C III,H/C III,Yumbe Hub   ,Yumbe,West Nile,\N,Kochi HC III,eagCoWlLIhR,LuwtlTv6AvG
Ayipe H/C III,H/C III,Koboko Hub   ,Koboko,West Nile,\N,Ayipe HC III,mMZD31O698s,Qsjl0dlnMBv
Nakasojjo H/C II,H/C II,Masaka Hub   ,Masaka,Central 1,Hv485zI15KB,Nakasojjo HC II,Hv485zI15KB,K5hb6GawneN
Ssunga H/C III,H/C III,Masaka Hub   ,Masaka,Central 1,\N,Ssunga HC III,EJjtvQaTkx8,Q4Tx5kB5XiG
Kyehoro H/C II,H/C II,Hoima Hub   ,Hoima,Mid Western,\N,Kyehoro HC II,pa2KemeFZTD,ZZgNM8hzpkd
Kibanda H/C III (Rakai),H/C III,Rakai Hub   ,Rakai,Central 1,GbWR7VCRA6Y,Kibanda HC III,GbWR7VCRA6Y,Ww8JslqOI3S
Adumi H/C IV,H/C IV,Arua Hub   ,Arua,West Nile,\N,Adumi HC IV,H7pcxkjHX8T,MNB3CpzVKla
Kabanga H/C III,H/C III,Mukono Hub ,Mukono ,Central 2,\N,Kabanga HC III,hFO29Yr6ysA,vsQrdcl4Ihd
Ngogwe H/C III,H/C III,Kawolo Hub   ,Buikwe ,Central 2,qdW8M8091gP,Ngogwe HC III,qdW8M8091gP,SglCRPAUHPA
Bulesa H/C III,H/C III,Bugiri Hub   ,Bugiri,East Central,xbM4diuk1dB,Bulesa HC III,xbM4diuk1dB,UYXRFJoh9BU
Kifamba H/C III (Rakai),H/C III,Rakai Hub   ,Rakai,Central 1,oHu9DJNgKaV,Kifamba HC III,oHu9DJNgKaV,bHgIn5Dvysz
Goma H/C III,H/C III,Mukono Hub ,Mukono ,Central 2,NB0Ww6f0PiX,Goma HC III,NB0Ww6f0PiX,VDfUn0tF9BH
Musozi H/C III,H/C III,kassanda Hub   ,Mubende,Central 2,MlMuBEoqA9y,Musozi HC III,MlMuBEoqA9y,BoBatqCStDf
Okidi H/C III,H/C III,Kitgum Hub   ,Kitgum,Mid Northern,MxcpmhA0rrA,Okidi HC III,MxcpmhA0rrA,Go3QYEqXItP
Nawandala H/C III,H/C III,Iganga Hub    ,Iganga,East Central,hA4k0l8StRh,Nawandala HC III,hA4k0l8StRh,ZnDNDl86Qhv
Mutumba H/C III,H/C III,Buyinja Hub   ,Namayingo,East Central,MAH7X3G7Bfi,Mutumba HC III,MAH7X3G7Bfi,D9kd8j8XQMG
Bugulumbya H/C III,H/C III,Kamuli Hub   ,Kamuli,East Central,Pm7k3OLfbXA,Bugulumbya HC III,Pm7k3OLfbXA,nXPfsdykSqJ
Lubira H/C III,H/C III,Iganga Hub    ,Iganga,East Central,NZmcEUkHQPs,Lubira HC III,NZmcEUkHQPs,dDj2hmpqErb
St Matia Mulumba H/C III (Namayingo),H/C III,Buyinja Hub   ,Namayingo,East Central,ayBh8ous7GK,Buswale St. Matia HC III,ayBh8ous7GK,IpdQDd3LSzy
Bbaale H/C IV,H/C IV,Kayunga Hub  ,Kayunga,Central 2,ptIo7ouXsPw,Bbaale HC IV,ptIo7ouXsPw,nJ1Fqd87Lki
Newlife H/C III,H/C III,Kitgum Hub   ,Kitgum,Mid Northern,v6eIpzse4SO,New Life Health Centre HC II,v6eIpzse4SO,s0v9UQ4uxU0
Budima H/C III,H/C III,Jinja Hub   ,Jinja,East Central,CfUwC7rnAVI,Budiima HC III,CfUwC7rnAVI,uIvTODkCwBX
Lukolo H/C III,H/C III,Jinja Hub   ,Jinja,East Central,NRHnL9b4KGT,Lukolo HC III,NRHnL9b4KGT,OxheHrxXZ8G
Nsozi H/C III,H/C III,Hoima Hub   ,Hoima,Mid Western,dGIRbXEYTuQ,Nsozi HC III,dGIRbXEYTuQ,bPiHrsC3qAM
Kiyuni H/C III (Mubende),H/C III,Mubende Hub    ,Mubende,Central 2,BuBhkTtnfuE,Mubende Kiyuni HC III GOVT,BuBhkTtnfuE,PXDOWVysKss
Lwampanga H/C III,H/C III,Nakasongola Hub   ,Nakasongola,Central 2,werOrHbzh72,Lwampanga HC III,werOrHbzh72,KewXTsHL6An
Kabule H/C III,H/C III,Mityana Hub   ,Mityana,Central 2,\N,Kabule HC III,SCCtg0ytcin,QYhtDzVGApX
Kanoni H/C III (Gomba),H/C III,Maddu Hub    ,Gomba,Central 1,XsLMulDu2aw,Gomba Kanoni HC III GOVT,XsLMulDu2aw,PnzDGquuIvo
Iwemba H/C III,H/C III,Bugiri Hub   ,Bugiri,East Central,rlXW6WfCgAp,Iwemba HC III,rlXW6WfCgAp,xzqj5VaI4Td
Kifampa H/C III (Gomba),H/C III,Maddu Hub    ,Gomba,Central 1,gMSnZfci97x,Kifampa HC III,gMSnZfci97x,qfUgxCBwCRQ
Buwagajjo H/C III,H/C III,Kawolo Hub   ,Buikwe ,Central 2,imFgSY3OUvZ,Buwagajjo HC III,imFgSY3OUvZ,ZOKUrpC4zKd
Nakayonza H/C III,H/C III,Nakasongola Hub   ,Nakasongola,Central 2,R2Cl01FXyrt,Nakayonza HC III,R2Cl01FXyrt,GIuh7hU2Z6c
Busabaga H/C III,H/C III,Kawolo Hub   ,Buikwe ,Central 2,analluLubfV,Busabaga HC III,analluLubfV,Q7Y1v4GVVSe
Bumwoni H/C III,H/C III,Tororo Hub   ,Namisindwa,Mid Eastern,CIVkMjSRVBX,Bumwoni HC III,CIVkMjSRVBX,t5FNcyDv5vz
Kateta H/C III,H/C III,Serere Hub   ,Serere,North East,TawGPygknTa,Kateta Gvt HC III,TawGPygknTa,LiIuB2AdS5Q
Atiira H/C III,H/C III,Serere Hub   ,Serere,North East,\N,Atiira HC III,sUtrRkuRSAm,kFHWNKyek3z
Kyamulibwa H/C III,H/C III,Butenga Hub   ,Kalungu,Central 1,mgr6AHrRokx,Kyamulibwa Gvt HC III,mgr6AHrRokx,YH38YLf4zh1
Kigulu H/C II,H/C II,Bugiri Hub   ,Bugiri,East Central,nATS7pzO63j,Kigulu HC II,#N/A,RsOM8A8UbHa
Kigungu H/C III,H/C III,Entebbe Hub   ,Wakiso,Central 1,MeFxWKBORKq,Kigungu HC III,MeFxWKBORKq,fh219NAXfw8
Lorengechora H/C III,H/C III,Matany Hub   ,Napak,North East,\N,Lorengechora HC III,UhCMUEIx3V9,BcHShxglgb5
Mungula H/C IV,H/C IV,Adjumani Hub   ,Adjumani,West Nile,\N,Mungula HC IV,a9ai8OVQ4ET,a7kFcDEdVQ8
Atoot H/C II,H/C II,Ngora Hub    ,Ngora,North East,\N,Atoot HC II,QDqSXZrFf6O,e99Ph0MMuyd
Najjembe H/C III,H/C III,Kawolo Hub   ,Buikwe ,Central 2,PwgfpQbQXTQ,Najjembe HC III,PwgfpQbQXTQ,KYW9xsSwumK
Lugasa H/C III,H/C III,Kayunga Hub  ,Kayunga,Central 2,AvO7fMz294Z,Lugasa HC III,AvO7fMz294Z,C9M9APWdaLl
Kacheri H/C III,H/C III,Kotido Hub  ,Kotido,North East,IW60hf7XNQ4,Kacheri HC III,IW60hf7XNQ4,riyJhz5oJrE
Buwabwala H/C III,H/C III,Tororo Hub   ,Namisindwa,Mid Eastern,\N,Buwabwala HC III,tZ2r1YHQh04,DXDfGN1DtZi
Bubutu H/C III,H/C III,Tororo Hub   ,Namisindwa,Mid Eastern,aCZRqIkW8s5,Bubutu HC III,aCZRqIkW8s5,qSD49a5RN0y
Bulondo H/C III,H/C III,Wakiso Hub  ,Wakiso,Central 1,lAyJuyzL2Oj,Bulondo HC III,lAyJuyzL2Oj,ULCK7bbYOfI
Singila H/C II,H/C II,Buyinja Hub   ,Namayingo,East Central,AgA6LVX4MQQ,Singila HC II,AgA6LVX4MQQ,SYy4OsoWEXE
Banda H/C II (Wakiso),H/C II,Wakiso Hub  ,Wakiso,Central 1,aV1BxN0b2cm,Wakiso Banda HC II GOVT,aV1BxN0b2cm,TawZ6lNa4sh
Irongo H/C III,H/C III,Iganga Hub    ,Luuka,East Central,DHRgoZsi4Mx,Irongo HC III,DHRgoZsi4Mx,jL95vDZjvmW
Butansi H/C III,H/C III,Kamuli Hub   ,Kamuli,East Central,nWJKeP8N21c,Butansi HC III,nWJKeP8N21c,jl2BDr2UJ8R
Nkooko H/C III,H/C III,Kakindo Hub   ,Kakumiro,Mid Western,\N,Nkooko HC III,ZwTCkOzJUwa,wSUo6kDHZ13
Logiri H/C III,H/C III,Arua Hub   ,Arua,West Nile,\N,Logiri HC III,wacjVEN6pwD,ssWLRNQdbFB
Wadra H/C III,H/C III,Arua Hub   ,Maracha Terego,West Nile,\N,Wadra HC III,OCCcAD4aYgs,eKohW9JEC8p
Nagongera H/C IV,H/C IV,Tororo Hub   ,Tororo,Mid Eastern,aQPRjLfrzRx,Nagongera HC IV,aQPRjLfrzRx,xhLtkOOa6gS
Mayirye H/C III,H/C III,Mityana Hub   ,Mityana,Central 2,MGoloBUb8vi,Mayirye (Arch Bishop Kiwanuka) HC III,MGoloBUb8vi,UMRdR1sHJP0
Kalaki H/C III,H/C III,Kaberamaido Hub   ,Kaberamaido,North East,\N,Kalaki HC III,BvO9dRkpqen,jmGcOeaPemb
Bamugolodde H/C III,H/C III,Nakasongola Hub   ,Nakasongola,Central 2,\N,Bamugolodde HC III,aSMuKx05RO8,apiVeBY5zST
Abarilela H/C III,H/C III,Amuria Hub   ,Amuria,North East,\N,Abarilela HC III,IswqGyDbcgm,o4TpAnAvIkQ
Bumbo H/C III,H/C III,Tororo Hub   ,Manafwa,Mid Eastern,uiIUQsgVTAj,Bumbo HC III,uiIUQsgVTAj,z30amIszVun
Wadelai H/C III,H/C III,Nebbi Hub   ,Pakwach,West Nile,\N,Wadelai HC III,txKvpnoo0Xd,o9aHGHY0sDD
Tara H/C III,H/C III,Arua Hub   ,Maracha Terego,West Nile,\N,Tara HC III,uVzb26lWq53,fovSPXUMa6q
Busamuzi H/C III,H/C III,Buvuma Hub,Buvuma,Central 2,afzGq7RpOTl,Busamuzi HC III,afzGq7RpOTl,qg5dS3mVZEc
Bulo H/C III,H/C III,Gombe Hub   ,Butambala,Central 1,\N,Bulo HC III,laPnCXSZ0Oo,UzEqSDwZlaV
Nakitoma H/C III,H/C III,Nakasongola Hub   ,Nakasongola,Central 2,ixo6xmc8VE9,Nakitoma HC III,ixo6xmc8VE9,OTgEwC9VjFf
Nsawo H/C III,H/C III,Luweero Hub    ,Luweero,Central 2,\N,Nsawo HC III,aysfx6SGoJe,D8YnYLfQII5
Kakaire H/C III,H/C III,Jinja Hub   ,Jinja,East Central,cDySnTOLPKt,Kakaire HC III,cDySnTOLPKt,B96RqyV6iUs
Wakitaka H/C III,H/C III,Jinja Hub   ,Jinja,East Central,\N,Wakitaka HC III,uN5b8CDfZxZ,FTRqGF6px0G
Buwenge General Hospital,Hospital,Jinja Hub   ,Jinja,East Central,XiavvWaLLRz,Buwenge General Hospital,XiavvWaLLRz,N2gw1lNi41f
Hukeseho H/C III,H/C III,Buyinja Hub   ,Namayingo,East Central,a4qvKbfSybp,Hukeseho HC III,a4qvKbfSybp,vZsEFwc3VWJ
Tongolo H/C II,H/C II,Kawolo Hub   ,Buikwe ,Central 2,\N,Tongolo HC II,zhFVYJiWUOS,irmHP84zdjq
Buikwe H/C III,H/C III,Kawolo Hub   ,Buikwe ,Central 2,\N,Buikwe HC III,cK5zkZIUFsN,OgaG3s9JMo0
Chawente H/C III,H/C III,Apac Hub    ,Kwania,Mid Northern,tvw7mudvx3r,Chawente HC III,tvw7mudvx3r,h44VqLzZxRh
Kadungulu H/C III,H/C III,Serere Hub   ,Serere,North East,FuXspRGeawu,Kadungulu HC III,FuXspRGeawu,aj7HVbEti3G
Kawaala H/C III,H/C III,Kampala Hub,Kampala,Kampala,wepUthscBkh,Kawaala Health Centre HC III,wepUthscBkh,Xij2DyJnWU4
Ggolo H/C III,H/C III,Mpigi Hub    ,Mpigi,Central 1,NHQdOv9RFcN,Ggolo HC III,NHQdOv9RFcN,Hcu67TDPgk7
Dufile H/C III,H/C III,Moyo Hub   ,Moyo,West Nile,\N,Dufile HC III,Dpv2z5tBsQK,ewPSPzDCXdC
Makindu H/C III,H/C III,Kawolo Hub   ,Buikwe ,Central 2,\N,Makindu HC III,CqBb08p28JJ,hL3Ee3bgT6L
Bukoova H/C III,H/C III,Kamuli Hub   ,Luuka,East Central,d6cSq5xJr84,Bukoova HC III,d6cSq5xJr84,fZEZI9b3Ova
Kei H/C III,H/C III,Yumbe Hub   ,Yumbe,West Nile,\N,Kei HC III,yMnNUBDNr21,dcPtxyVumcv
Oluvu H/C III,H/C III,Arua Hub   ,Maracha Terego,West Nile,\N,Oluvu HC III,dqVrBFvJg3n,TLyED2tLhws
Kyalulangira H/C III,H/C III,Rakai Hub   ,Rakai,Central 1,hBhHjc3o6Fa,Kyalulangira HC III,hBhHjc3o6Fa,L31MUczQ5Tp
Kimengo H/C III,H/C III,Masindi Hub   ,Masindi ,Mid Western,u9ESrcugDMJ,Kimengo HC III,u9ESrcugDMJ,ly5rvL99ZA2
Hapuuyo H/C III,H/C III,Kyegegwa Hub   ,Kyegegwa,Mid Western,\N,Hapuuyo HC III,a1H4RSyoXOj,w2qhSiJj7e0
Iyolwa H/C III,H/C III,Tororo Hub   ,Tororo,Mid Eastern,XJMwYIWSmOO,Iyolwa HC III,XJMwYIWSmOO,eoWkXGhGkKN
Kazwama H/C II,H/C II,Nakasongola Hub   ,Nakasongola,Central 2,hwNTd8tjyyR,Kazwama HC II,hwNTd8tjyyR,ZhSLc8uf7l2
Kyato H/C II,H/C II,kassanda Hub   ,Mubende,Central 2,\N,Kyato HC II,g3fL9ZY07af,CjPEv0bQqAI
Kabale H/C III (Hoima),H/C III,Hoima Hub   ,Hoima,Mid Western,SuNPmvsGklv,Kabaale HC III,SuNPmvsGklv,RdjuYGGcR1J
Bubangizi H/C III,H/C III,kitagata Hub   ,Mitooma,South Western,\N,Bubangizi HC III,w9SnOvetHUQ,ghjHkRAYt7A
Nyakatsiro H/C III,H/C III,kitagata Hub   ,Mitooma,South Western,\N,Nyakatsiro HC III,Dk1SkAipwsf,uKDIEQ7EkWD
Metha Hospital,Hospital,Kawolo Hub   ,Buikwe ,Central 2,achC82olIo9,Lugazi Scoul HOSPITAL,achC82olIo9,SdIWou39en4
Lefori H/C III,H/C III,Moyo Hub   ,Moyo,West Nile,\N,Lefori HC III,Lw8YR0FJdCr,zdpbFvksmL8
Bukakata H/C III,H/C III,Masaka Hub   ,Masaka,Central 1,\N,Bukakata HC III,aukuvrCNcqR,fCT06goMbOu
Semuto H/C IV,H/C IV,Ngoma Hub   ,Nakaseke,Central 2,zPvmdjd3Hw6,Semuto HC IV,zPvmdjd3Hw6,DxSugE5IJZQ
Magamaga H/C III (Jinja),H/C III,Jinja Hub   ,Jinja,East Central,abg74s2NDzQ,Magamaga HC III,abg74s2NDzQ,GcBziX3uNMh
Kangole H/C III,H/C III,Matany Hub   ,Napak,North East,\N,Kangole HC III,ZIqDFJwbapx,NxXzosGiIaV
Panyigoro H/C III,H/C III,Nebbi Hub   ,Pakwach,West Nile,\N,Panyigoro HC III,S9QduX5GY1K,y6gcktk0xen
Obongi H/C IV,H/C IV,Moyo Hub   ,Moyo,West Nile,\N,Obongi HC IV,nrLW9kL9BT2,ipmLN0K7sG1
Our Lady  of Lourdes H/C III (Nakasongola),H/C III,Nakasongola Hub   ,Nakasongola,Central 2,FWFO4gWgFSk,Our Lady Nakasongola HC III,FWFO4gWgFSk,o1V1ciSvDxS
Mpambwa H/C III,H/C III,Jinja Hub   ,Jinja,East Central,\N,Mpambwa HC III,OpOGlpV0oLK,icgcsYqwMSJ
Zirobwe H/C III,H/C III,Luweero Hub    ,Luweero,Central 2,\N,Zirobwe HC III,ec6ZVy4whk5,Wq3nIqMvnz3
Apwori H/C III,H/C III,Apac Hub    ,Kwania,Mid Northern,CWtHofajIfs,Apwori HC III,CWtHofajIfs,eXkilNVyJ8S
Laropi H/C III,H/C III,Moyo Hub   ,Moyo,West Nile,\N,Laropi HC III,X00gYQ3tjMD,B67wDn8wzrh
Pokwero H/C III,H/C III,Nebbi Hub   ,Pakwach,West Nile,\N,Pokwero HC III,aBicVbbaQ8B,NbRqEt6Cf3T
Kamira H/C III,H/C III,Luweero Hub    ,Luweero,Central 2,\N,Kamira HC III,SQgzVzwkRjK,BgyH9JuyOLy
Nadunget H/C III,H/C III,Moroto Hub  ,Moroto,North East,aBkmoTyWd0a,Nadunget HC III,aBkmoTyWd0a,kzEbQNwx4oO
Butuntumula H/C III,H/C III,Luweero Hub    ,Luweero,Central 2,\N,Butuntumula HC III,NGteaaEKAMh,fRYDtTzCsXv
Nabwendo H/C III,H/C III,Kiboga Hub   ,Kiboga,Central 2,J64jaeaqOc6,Nabwendo HC III,J64jaeaqOc6,P6oZbffctzX
Kalangaalo H/C II,H/C II,Mityana Hub   ,Mityana,Central 2,\N,Kalangaalo HC II,Pg7u9XVV10i,nEbnKWS7lZP
Nindye H/C III,H/C III,Mpigi Hub    ,Mpigi,Central 1,\N,Nindye HC III,ZcC2OKgHUBc,vTeqfgz3ovT
Bukeeri H/C III,H/C III,Masaka Hub   ,Masaka,Central 1,\N,Bukeeri HC III,aSsroXOZSIn,DVqAkLpEzUG
Bunjako H/C III,H/C III,Mpigi Hub    ,Mpigi,Central 1,X1RkzMg2Hn1,Bunjako HC III,X1RkzMg2Hn1,xxQBekmo3Ty
Panyangasi H/C III,H/C III,Tororo Hub   ,Tororo,Mid Eastern,qbOt8Nswoff,PanyangasiKidera HC III,qbOt8Nswoff,JKm1wB6b5K7
Bululu H/C III,H/C III,Kaberamaido Hub   ,Kaberamaido,North East,\N,Bululu HC III,GRkqVpmzBgf,YMTzrkYbx2s
Panyadoli H/C III,H/C III,kiryandongo Hub   ,Kiryandongo,Mid Western,a3qKoIZXK3t,Panyadoli HC III,a3qKoIZXK3t,WqEVzVzefXb
Kikoma H/C III,H/C III,Luweero Hub    ,Luweero,Central 2,\N,Kikoma HC III,reSTu8XZgge,WR2oJNfB8pO
Mukongoro H/C III,H/C III,Atutur Hub  ,Kumi,North East,\N,Mukongoro HC III,agLJLYLJNK6,ABI4b5zAUd2
Kucwiny H/C III,H/C III,Nebbi Hub   ,Nebbi,West Nile,\N,Kucwiny HC III,a6UyqE2Tgjx,iZs7syhpcvR
Masindi Port H/C III,H/C III,kiryandongo Hub   ,Kiryandongo,Mid Western,PwHIdfpqYWi,Masindi Port HC III,PwHIdfpqYWi,v2iIZb39Mx9
St Padre Pio H/C III Busunju,H/C III,Mityana Hub   ,Mityana,Central 2,l3oOKBFWJkz,St. Padre Pio Mirembe HC III,l3oOKBFWJkz,huNLLZTTLKT
Kakiri H/C III,H/C III,Wakiso Hub  ,Wakiso,Central 1,EAr7pVCRxF3,Kakiri HC III,EAr7pVCRxF3,Usa0O0piLoh
Kiziba H/C III (Rakai),H/C III,Rakai Hub   ,Rakai,Central 1,UjpKmijwPjr,Rakai Kiziba HC II GOVT,UjpKmijwPjr,QJUXCuB0RX9
Kyabadaaza H/C III,H/C III,Gombe Hub   ,Butambala,Central 1,qYIh49gM216,Kyabadaza HC III,qYIh49gM216,Ta4LEOn5PJj
Kiragga H/C III,H/C III,Butenga Hub   ,Kalungu,Central 1,aGJJ5oqd2zk,Kiragga HC III,aGJJ5oqd2zk,YAeKwSxjp28
Mutunda H/C III,H/C III,kiryandongo Hub   ,Kiryandongo,Mid Western,T72P3ebY53q,Mutunda HC III,T72P3ebY53q,ei0aZIQD6vp
Kigumba H/C III,H/C III,kiryandongo Hub   ,Kiryandongo,Mid Western,csFo3Bw4oTt,Kigumba HC III,csFo3Bw4oTt,RPedRZsBmsc
Busaana H/C III,H/C III,Kayunga Hub  ,Kayunga,Central 2,aLmtlWu249T,Busaana HC III,aLmtlWu249T,NwJjBOLhGDl
Bamunanika H/C III,H/C III,Luweero Hub    ,Luweero,Central 2,\N,Bamunanika HC III,Y8UhpQhdeP2,xolrqDfDHKV
Kavule H/C II,H/C II,Kawolo Hub   ,Buikwe ,Central 2,\N,Kavule HC II,bWOR5fD8vdv,AuhQbo2U9ee
Ovujo H/C III,H/C III,Arua Hub   ,Maracha Terego,West Nile,\N,Ovujo HC III,NzNtDRq3o75,VUBOImWu0RW
Vurra H/C III,H/C III,Arua Hub   ,Arua,West Nile,\N,Vurra HC III,pMSBcFRbW7W,V5Dnfj3Rdit
Bubukwanga H/C III,H/C III,Bundibugyo Hub   ,Bundibugyo,Mid Western,\N,Bubukwanga HC III,tv8qMylVqWx,HCs5sSNjRpL
Moroto Army H/C IV,H/C IV,Moroto Hub  ,Moroto,North East,pE5320aADcw,Moroto Army HC III,pE5320aADcw,G9AwBTmicJL
Mukono Hospital C.O.U,Hospital,Mukono Hub ,Mukono ,Central 2,MNzaqWsKyxO,Mukono CoU HC IV,MNzaqWsKyxO,Dln7yjC5HZ5
Mende H/C III,H/C III,Wakiso Hub  ,Wakiso,Central 1,UkAhDd9JpYl,Mende HC III,UkAhDd9JpYl,bcxiELe7koN
Kayango H/C III,H/C III,Bugiri Hub   ,Bugiri,East Central,BNsfT2yL0kW,Kayango HC III,BNsfT2yL0kW,SZsCmTvNT6O
Nyaravur H/C III,H/C III,Nebbi Hub   ,Nebbi,West Nile,\N,Nyaravur HC III,g4MQbbN4oR6,wyi7I3lyXwX
Kyalugondo H/C III,H/C III,Luweero Hub    ,Luweero,Central 2,\N,Kyalugondo HC III,E49UQK1wLQ2,DUrBT8tBy7t
Wabusana H/C III,H/C III,Luweero Hub    ,Luweero,Central 2,\N,Wabusana HC III,s1n0dG7Dw9h,U32cb1RySup
Ssi H/C III,H/C III,Kawolo Hub   ,Buikwe ,Central 2,\N,Ssi HC III,TYC4xgc3ieF,a3iLgdEedvk
Panyangara H/C III,H/C III,Kotido Hub  ,Kotido,North East,\N,Panyangara HC III,vAJSlVqO7d5,M9W8rm3ESsz
Ajia H/C III,H/C III,Arua Hub   ,Arua,West Nile,\N,Ajia HC III,apgOmUgDNge,WI3sBdGn4bR
Kitanda H/C III,H/C III,Ssembabule Hub   ,Bukomansimbi,Central 1,\N,Kitanda HC III,aULXp2H2LGI,wJfvj5p2YIX
Lwanda H/C III,H/C III,Rakai Hub   ,Rakai,Central 1,Lo7mfA6jWTu,Lwanda HC III,Lo7mfA6jWTu,LCRaAn0e6PJ
Bitooma H/C III,H/C III,Bushenyi Hub   ,Bushenyi,South Western,IgKXuBYXQFl,Bitooma HC III,IgKXuBYXQFl,yaOV0up5mPa
Parombo H/C III,H/C III,Nebbi Hub   ,Nebbi,West Nile,\N,Parombo HC III,xYbII9uvF5o,UavK4M8bo6N
Bulera H/C III,H/C III,Mityana Hub   ,Mityana,Central 2,archepWw0ZZ,Bulera HC III,archepWw0ZZ,NbvQYTcNgfR
Toroma H/C IV,H/C IV,Katakwi Hub   ,Katakwi ,North East,\N,Toroma HC IV,Vdrd1FtUOrc,iNA4nKEIeCW
Kimwanyi H/C III,H/C III,Lwengo Hub    ,Lwengo,Central 1,\N,Kimwanyi HC III,qjeMzMj7tdk,cIzadJ0Fu6A
Bweema H/C III,H/C III,Kayunga Hub  ,Buvuma,Central 2,G6GmMEAZA9r,Bweema HC III,G6GmMEAZA9r,EaniFYQvBJc
Kabeywa H/C III,H/C III,Kapchorwa Hub   ,Kapchorwa,Mid Eastern,\N,Kabeywa HC III,K0MZ3COLlKt,RFNUslewRwg
Kabungo H/C III,H/C III,Butenga Hub   ,Kalungu,Central 1,\N,Kabungo HC III,lbLwvsxtAIk,Ivjl7kwSJIr
Nyantonzi H/C III,H/C III,Masindi Hub   ,Masindi ,Mid Western,SzShxoEQf7a,Nyantonzi HC III,SzShxoEQf7a,iToki3mEHQO
Bowa H/C III,H/C III,Luweero Hub    ,Luweero,Central 2,\N,Bowa HC III,aGisGCcp7Hz,bGIuL1XzjwJ
Diima H/C III,H/C III,kiryandongo Hub   ,Kiryandongo,Mid Western,xO0dHAa2wFK,Diima HC III,xO0dHAa2wFK,FzaYoFQlYQA
Kamaka H/C III,H/C III,Arua Hub   ,Maracha Terego,West Nile,\N,Kamaka HC III,S26rammWZ0Y,GzDNJdNSefz
Kolir H/C III,H/C III,Atutur Hub  ,Bukedea,North East,\N,Kolir HC III,OMNRrYcHxCn,otadX1fWGeN
Lacor Opit H/C III (Omoro),H/C III,Lalogi Hub    ,Omoro,Mid Northern,IdUFKUbqQiQ,Opit HC III,IdUFKUbqQiQ,emUQQ7ej4CV
